policy,frames,hard_frames,selected_dice,unet_dice,delta_vs_unet,delta_ci95_low,delta_ci95_high,delta_permutation_p,sam_rate,hard_selected_dice,hard_unet_dice,hard_delta_vs_unet,hard_delta_ci95_low,hard_delta_ci95_high,hard_delta_permutation_p
classical_histgb:absolute_sam_dice:oracle_best_of_two,765,205,0.8614106828424549,0.8091443536558345,0.05226632918662047,0.042387349819616685,0.06262814765107347,0.0001999600079984003,0.3215686274509804,0.6824326559326495,0.5055284917657177,0.17690416416693178,0.1460140577246068,0.2093289646378572,0.0001999600079984003
classical_histgb:residual_gain:oracle_best_of_two,765,205,0.8607299521757021,0.8091443536558345,0.051585598519867694,0.0421923722552791,0.061609701917253484,0.0001999600079984003,0.32679738562091504,0.6808824893506165,0.5055284917657177,0.1753539975848987,0.14573777029224982,0.2068856080749447,0.0001999600079984003
classical_histgb:residual_gain:val_gain_switch,765,205,0.8387014596160964,0.8091443536558345,0.029557105960261867,0.02081002753932841,0.03895740542218819,0.0001999600079984003,0.18562091503267975,0.6224141724387574,0.5055284917657177,0.11688568067303962,0.0869436694325361,0.1486229370888329,0.0001999600079984003
classical_histgb:absolute_sam_dice:meta_histgb_gain_switch,765,205,0.8367946476759606,0.8091443536558345,0.027650294020126115,0.01866768288303759,0.0375731051239482,0.0001999600079984003,0.16470588235294117,0.6157087923361587,0.5055284917657177,0.11018030057044102,0.07888311593273345,0.1426565615907472,0.0001999600079984003
classical_histgb:residual_gain:meta_rf_gain_switch,765,205,0.8367076864775513,0.8091443536558345,0.02756333282171676,0.01819899939005019,0.03737903389379868,0.0001999600079984003,0.25359477124183005,0.6265174423128906,0.5055284917657177,0.12098895054717287,0.08985421783394135,0.1537309480234686,0.0001999600079984003
classical_histgb:residual_gain:meta_histgb_gain_switch,765,205,0.8340862793282084,0.8091443536558345,0.0249419256723741,0.015886147430731235,0.03439736662206862,0.0001999600079984003,0.1568627450980392,0.6118378560665368,0.5055284917657177,0.1063093643008191,0.07628852723212975,0.13706478015425966,0.0001999600079984003
classical_histgb:absolute_sam_dice:meta_rf_gain_switch,765,205,0.8315677836970086,0.8091443536558345,0.022423430041174083,0.014864514539441267,0.030656989489837794,0.0001999600079984003,0.13986928104575164,0.5908814948468063,0.5055284917657177,0.08535300308108854,0.05929409599496445,0.11379163181306713,0.0001999600079984003
classical_histgb:residual_gain:always_unet,765,205,0.8091443536558345,0.8091443536558345,0.0,0.0,0.0,1.0,0.0,0.5055284917657177,0.5055284917657177,0.0,0.0,0.0,1.0
classical_histgb:absolute_sam_dice:always_unet,765,205,0.8091443536558345,0.8091443536558345,0.0,0.0,0.0,1.0,0.0,0.5055284917657177,0.5055284917657177,0.0,0.0,0.0,1.0
classical_histgb:absolute_sam_dice:val_gain_switch,765,205,0.8085536665995291,0.8091443536558345,-0.0005906870563053745,-0.0014585680383742737,0.00022571577770742253,0.17116576684663068,0.040522875816993466,0.5063849772546496,0.5055284917657177,0.0008564854889319089,0.0,0.002569456466795727,1.0
classical_histgb:absolute_sam_dice:always_sam,765,205,0.7129488996360445,0.8091443536558345,-0.09619545401978995,-0.11543858995631161,-0.07670229818602951,0.0001999600079984003,1.0,0.612541942463815,0.5055284917657177,0.10701345069809727,0.06478562064377154,0.14914273407401132,0.0001999600079984003
classical_histgb:residual_gain:always_sam,765,205,0.7116614540549634,0.8091443536558345,-0.09748289960087116,-0.11664969572890375,-0.07851503256926815,0.0001999600079984003,1.0,0.5956101931778129,0.5055284917657177,0.09008170141209519,0.04636913751169768,0.13389830409064946,0.0003999200159968006
