policy,frames,hard_frames,selected_dice,unet_dice,delta_vs_unet,delta_ci95_low,delta_ci95_high,delta_permutation_p,sam_rate,hard_selected_dice,hard_unet_dice,hard_delta_vs_unet,hard_delta_ci95_low,hard_delta_ci95_high,hard_delta_permutation_p
classical_histgb:absolute_sam_dice:oracle_best_of_two,375,160,0.8277149252414941,0.7597065461790674,0.06800837906242652,0.05466298521157315,0.08216414069689353,0.0001999600079984003,0.4746666666666667,0.7557378777366248,0.6101248368636631,0.14561304087296173,0.11887792221891066,0.17422003896510818,0.0001999600079984003
classical_histgb:residual_gain:oracle_best_of_two,375,160,0.8258624623381176,0.7597065461790674,0.06615591615905002,0.052834897424626964,0.08080938201045831,0.0001999600079984003,0.47733333333333333,0.7485868743468773,0.6101248368636631,0.13846203748321412,0.11113681752152474,0.16734421812285122,0.0001999600079984003
classical_histgb:absolute_sam_dice:meta_rf_gain_switch,375,160,0.7775425425223692,0.7597065461790674,0.017835996343301647,0.0043833173364488855,0.031940406902697796,0.010597880423915218,0.22666666666666666,0.6787507766435061,0.6101248368636631,0.06862593977984299,0.042495382571909816,0.09706588097350163,0.0001999600079984003
classical_histgb:residual_gain:meta_rf_gain_switch,375,160,0.7773803953085926,0.7597065461790674,0.017673849129525156,0.003232137779241703,0.03244532428040175,0.016596680663867228,0.2773333333333333,0.6732213386787775,0.6101248368636631,0.06309650181511428,0.03417061082772614,0.09376248400743448,0.0001999600079984003
classical_histgb:residual_gain:meta_histgb_gain_switch,375,160,0.7762913793567416,0.7597065461790674,0.016584833177674202,0.001849034808956325,0.0315871722734462,0.02959408118376325,0.31466666666666665,0.6745643976105191,0.6101248368636631,0.06443956074685601,0.03515706345272624,0.09454918463008247,0.0001999600079984003
classical_histgb:residual_gain:val_gain_switch,375,160,0.7739748552028808,0.7597065461790674,0.0142683090238133,-0.0006139699846350123,0.029442496555772024,0.0617876424715057,0.30133333333333334,0.6745822396849033,0.6101248368636631,0.06445740282124009,0.03600715000479491,0.09462306219525697,0.0003999200159968006
classical_histgb:absolute_sam_dice:meta_histgb_gain_switch,375,160,0.7732379640690636,0.7597065461790674,0.01353141788999601,6.309411171625543e-05,0.02774324932165494,0.05118976204759048,0.3466666666666667,0.6737257125172581,0.6101248368636631,0.06360087565359493,0.03604828980040722,0.09264833886579378,0.0001999600079984003
classical_histgb:absolute_sam_dice:always_sam,375,160,0.7668355769610514,0.7597065461790674,0.007129030781983874,-0.011617615455549327,0.027099725477958865,0.46090781843631273,1.0,0.7248929273067889,0.6101248368636631,0.11476809044312568,0.08101249632957341,0.1481888151231029,0.0001999600079984003
classical_histgb:absolute_sam_dice:val_gain_switch,375,160,0.762539888930208,0.7597065461790674,0.0028333427511404033,-0.00507304715660041,0.010754360285194973,0.47290541891621674,0.27466666666666667,0.6395855613112653,0.6101248368636631,0.029460724447602116,0.016041036554064088,0.04385756302076457,0.0001999600079984003
classical_histgb:residual_gain:always_unet,375,160,0.7597065461790674,0.7597065461790674,0.0,0.0,0.0,1.0,0.0,0.6101248368636631,0.6101248368636631,0.0,0.0,0.0,1.0
classical_histgb:absolute_sam_dice:always_unet,375,160,0.7597065461790674,0.7597065461790674,0.0,0.0,0.0,1.0,0.0,0.6101248368636631,0.6101248368636631,0.0,0.0,0.0,1.0
classical_histgb:residual_gain:always_sam,375,160,0.7556200194390954,0.7597065461790674,-0.004086526739972182,-0.02428869135294157,0.01739356822877202,0.6882623475304939,1.0,0.70437512158875,0.6101248368636631,0.09425028472508676,0.056583735825042905,0.13102969457882582,0.0001999600079984003
