group,metric,count,mean,std,median,min,max
CVC-external,dice,612,0.7889,0.2464,0.8987,0.0,0.9887
CVC-external,iou,612,0.7041,0.2633,0.8162,0.0,0.9777
CVC-external,precision,612,0.7949,0.2596,0.9041,0.0,1.0
CVC-external,recall,612,0.853,0.2458,0.9579,0.0,1.0
CVC-external,f2,612,0.8147,0.2395,0.9166,0.0,0.9868
CVC-external,boundary_f1,612,0.548,0.2449,0.5709,0.0,1.0
CVC-external,pointing_game,612,0.9624,0.1902,1.0,0.0,1.0
CVC-external,peak_center_dist,612,28.1876,27.712,19.61,0.19,248.42
Kvasir-test,dice,100,0.8668,0.1912,0.9431,0.0,0.9864
Kvasir-test,iou,100,0.8016,0.2209,0.8923,0.0,0.9731
Kvasir-test,precision,100,0.8711,0.1915,0.9489,0.0,1.0
Kvasir-test,recall,100,0.9091,0.1847,0.9681,0.0,1.0
Kvasir-test,f2,100,0.8848,0.1837,0.955,0.0,0.9898
Kvasir-test,boundary_f1,100,0.6339,0.2179,0.644,0.0,1.0
Kvasir-test,pointing_game,100,0.98,0.14,1.0,0.0,1.0
Kvasir-test,peak_center_dist,100,28.2544,22.3627,21.11,1.0,103.73
