seed,epoch,train_loss,val_loss,val_dice
8,1,0.854937,0.585367,0.779817
8,2,0.484389,0.478371,0.801396
8,3,0.352771,0.383234,0.846693
8,4,0.260427,0.318974,0.860367
8,5,0.205051,0.382404,0.806383
8,6,0.183309,0.436233,0.827715
8,7,0.178611,0.292677,0.8826
8,8,0.130384,0.295948,0.871553
8,9,0.115672,0.31202,0.875706
8,10,0.121496,0.361574,0.865429
8,11,0.100797,0.314467,0.884291
8,12,0.08964,0.368498,0.861333
8,13,0.07766,0.310578,0.885402
8,14,0.065711,0.311588,0.886681
8,15,0.059049,0.307002,0.891263
8,16,0.054447,0.321447,0.887107
8,17,0.05222,0.317416,0.888692
8,18,0.048604,0.323106,0.885451
8,19,0.047065,0.334681,0.882967
8,20,0.043946,0.324779,0.888055
